,UR_PRCP,UR_TMAX,UR_TMIN,MJOPhase_OLR,MJOAmplitude_OLR,UR_ERA5_Soil_Moisture_Lev1,UR_ERA5_Soil_Moisture_Lev2,MJOPhase_OLR_lag5,MJOPhase_OLR_lag10,MJOPhase_OLR_lag15,MJOPhase_OLR_lag20,MJOPhase_OLR_lag25,MJOPhase_OLR_lag30,MJOAmplitude_OLR_lag5,MJOAmplitude_OLR_lag10,MJOAmplitude_OLR_lag15,MJOAmplitude_OLR_lag20,MJOAmplitude_OLR_lag25,MJOAmplitude_OLR_lag30,UR_ERA5_Soil_Moisture_Lev1_lag5,UR_ERA5_Soil_Moisture_Lev1_lag10,UR_ERA5_Soil_Moisture_Lev1_lag15,UR_ERA5_Soil_Moisture_Lev1_lag20,UR_ERA5_Soil_Moisture_Lev1_lag25,UR_ERA5_Soil_Moisture_Lev1_lag30,UR_ERA5_Soil_Moisture_Lev2_lag5,UR_ERA5_Soil_Moisture_Lev2_lag10,UR_ERA5_Soil_Moisture_Lev2_lag15,UR_ERA5_Soil_Moisture_Lev2_lag20,UR_ERA5_Soil_Moisture_Lev2_lag25,UR_ERA5_Soil_Moisture_Lev2_lag30
1980-01-01,,,,5,0.6049,0.28841949,0.28215852,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-02,,,,5,0.6069,0.26694608,0.27391252,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-03,,,,5,0.5613,0.2497426,0.26507264,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-04,,,,6,0.6842,0.23628736,0.2560584,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-05,,,,6,0.8435,0.22986639,0.25191835,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-06,,,,6,1.0925,0.37838015,0.2547487,5.0,,,,,,0.6049,,,,,,0.28841949,,,,,,0.28215852,,,,,
1980-01-07,,,,6,1.0085,0.37878427,0.26086918,5.0,,,,,,0.6069,,,,,,0.26694608,,,,,,0.27391252,,,,,
1980-01-08,,,,6,0.6414,0.34904873,0.25904244,5.0,,,,,,0.5613,,,,,,0.2497426,,,,,,0.26507264,,,,,
1980-01-09,,,,6,0.4999,0.3657474,0.2638983,6.0,,,,,,0.6842,,,,,,0.23628736,,,,,,0.2560584,,,,,
1980-01-10,,,,6,0.47,0.3107902,0.2580132,6.0,,,,,,0.8435,,,,,,0.22986639,,,,,,0.25191835,,,,,
1980-01-11,,,,6,0.3725,0.27835485,0.25735104,6.0,5.0,,,,,1.0925,0.6049,,,,,0.37838015,0.28841949,,,,,0.2547487,0.28215852,,,,
1980-01-12,,,,7,0.1387,0.26140702,0.25584745,6.0,5.0,,,,,1.0085,0.6069,,,,,0.37878427,0.26694608,,,,,0.26086918,0.27391252,,,,
1980-01-13,,,,2,0.1655,0.24780455,0.25259635,6.0,5.0,,,,,0.6414,0.5613,,,,,0.34904873,0.2497426,,,,,0.25904244,0.26507264,,,,
1980-01-14,,,,1,0.603,0.24180323,0.25269634,6.0,6.0,,,,,0.4999,0.6842,,,,,0.3657474,0.23628736,,,,,0.2638983,0.2560584,,,,
1980-01-15,0.0,32.0,17.0,2,0.8311,0.24015312,0.25415605,6.0,6.0,,,,,0.47,0.8435,,,,,0.3107902,0.22986639,,,,,0.2580132,0.25191835,,,,
1980-01-16,,,,2,1.0754,0.23601621,0.25170615,6.0,6.0,5.0,,,,0.3725,1.0925,0.6049,,,,0.27835485,0.37838015,0.28841949,,,,0.25735104,0.2547487,0.28215852,,,
1980-01-17,,,,2,1.2639,0.23720151,0.25243783,7.0,6.0,5.0,,,,0.1387,1.0085,0.6069,,,,0.26140702,0.37878427,0.26694608,,,,0.25584745,0.26086918,0.27391252,,,
1980-01-18,,,,2,1.1226,0.2327444,0.25031233,2.0,6.0,5.0,,,,0.1655,0.6414,0.5613,,,,0.24780455,0.34904873,0.2497426,,,,0.25259635,0.25904244,0.26507264,,,
1980-01-19,,,,2,0.8344,0.26068136,0.2490136,1.0,6.0,6.0,,,,0.603,0.4999,0.6842,,,,0.24180323,0.3657474,0.23628736,,,,0.25269634,0.2638983,0.2560584,,,
1980-01-20,,,,3,0.5924,0.25786144,0.2546938,2.0,6.0,6.0,,,,0.8311,0.47,0.8435,,,,0.24015312,0.3107902,0.22986639,,,,0.25415605,0.2580132,0.25191835,,,
1980-01-21,,,,3,0.5613,0.24783167,0.2529756,2.0,6.0,6.0,5.0,,,1.0754,0.3725,1.0925,0.6049,,,0.23601621,0.27835485,0.37838015,0.28841949,,,0.25170615,0.25735104,0.2547487,0.28215852,,
1980-01-22,,,,3,0.8126,0.23709564,0.24832216,2.0,7.0,6.0,5.0,,,1.2639,0.1387,1.0085,0.6069,,,0.23720151,0.26140702,0.37878427,0.26694608,,,0.25243783,0.25584745,0.26086918,0.27391252,,
1980-01-23,,,,3,1.0203,0.22691867,0.24122734,2.0,2.0,6.0,5.0,,,1.1226,0.1655,0.6414,0.5613,,,0.2327444,0.24780455,0.34904873,0.2497426,,,0.25031233,0.25259635,0.25904244,0.26507264,,
1980-01-24,0.0,35.0,18.0,3,1.1084,0.43855622,0.2499794,2.0,1.0,6.0,6.0,,,0.8344,0.603,0.4999,0.6842,,,0.26068136,0.24180323,0.3657474,0.23628736,,,0.2490136,0.25269634,0.2638983,0.2560584,,
1980-01-25,0.0,28.0,13.0,3,0.8752,0.3584329,0.25171834,3.0,2.0,6.0,6.0,,,0.5924,0.8311,0.47,0.8435,,,0.25786144,0.24015312,0.3107902,0.22986639,,,0.2546938,0.25415605,0.2580132,0.25191835,,
1980-01-26,,,,3,0.6533,0.30023235,0.24373576,3.0,2.0,6.0,6.0,5.0,,0.5613,1.0754,0.3725,1.0925,0.6049,,0.24783167,0.23601621,0.27835485,0.37838015,0.28841949,,0.2529756,0.25170615,0.25735104,0.2547487,0.28215852,
1980-01-27,0.0,,17.0,3,0.5261,0.25443858,0.24111636,3.0,2.0,7.0,6.0,5.0,,0.8126,1.2639,0.1387,1.0085,0.6069,,0.23709564,0.23720151,0.26140702,0.37878427,0.26694608,,0.24832216,0.25243783,0.25584745,0.26086918,0.27391252,
1980-01-28,0.0,34.0,17.0,4,0.7312,0.25465417,0.24058467,3.0,2.0,2.0,6.0,5.0,,1.0203,1.1226,0.1655,0.6414,0.5613,,0.22691867,0.2327444,0.24780455,0.34904873,0.2497426,,0.24122734,0.25031233,0.25259635,0.25904244,0.26507264,
1980-01-29,0.0,,17.0,4,0.8306,0.24355406,0.23956034,3.0,2.0,1.0,6.0,6.0,,1.1084,0.8344,0.603,0.4999,0.6842,,0.43855622,0.26068136,0.24180323,0.3657474,0.23628736,,0.2499794,0.2490136,0.25269634,0.2638983,0.2560584,
1980-01-30,0.0,33.0,20.0,4,0.7665,0.23497166,0.23895669,3.0,3.0,2.0,6.0,6.0,,0.8752,0.5924,0.8311,0.47,0.8435,,0.3584329,0.25786144,0.24015312,0.3107902,0.22986639,,0.25171834,0.2546938,0.25415605,0.2580132,0.25191835,
1980-01-31,0.3,34.0,22.0,6,0.3975,0.28937623,0.23963839,3.0,3.0,2.0,6.0,6.0,5.0,0.6533,0.5613,1.0754,0.3725,1.0925,0.6049,0.30023235,0.24783167,0.23601621,0.27835485,0.37838015,0.28841949,0.24373576,0.2529756,0.25170615,0.25735104,0.2547487,0.28215852
1980-02-01,15.0,,19.0,7,0.6582,0.35519984,0.25849244,3.0,3.0,2.0,7.0,6.0,5.0,0.5261,0.8126,1.2639,0.1387,1.0085,0.6069,0.25443858,0.23709564,0.23720151,0.26140702,0.37878427,0.26694608,0.24111636,0.24832216,0.25243783,0.25584745,0.26086918,0.27391252
1980-02-02,0.0,,14.0,8,0.7567,0.30524594,0.2552304,4.0,3.0,2.0,2.0,6.0,5.0,0.7312,1.0203,1.1226,0.1655,0.6414,0.5613,0.25465417,0.22691867,0.2327444,0.24780455,0.34904873,0.2497426,0.24058467,0.24122734,0.25031233,0.25259635,0.25904244,0.26507264
1980-02-03,0.0,,18.0,8,0.8586,0.27081698,0.25038671,4.0,3.0,2.0,1.0,6.0,6.0,0.8306,1.1084,0.8344,0.603,0.4999,0.6842,0.24355406,0.43855622,0.26068136,0.24180323,0.3657474,0.23628736,0.23956034,0.2499794,0.2490136,0.25269634,0.2638983,0.2560584
1980-02-04,,,,7,0.8608,0.33850121,0.24626249,4.0,3.0,3.0,2.0,6.0,6.0,0.7665,0.8752,0.5924,0.8311,0.47,0.8435,0.23497166,0.3584329,0.25786144,0.24015312,0.3107902,0.22986639,0.23895669,0.25171834,0.2546938,0.25415605,0.2580132,0.25191835
1980-02-05,,,,7,0.8351,0.48096198,0.29946023,6.0,3.0,3.0,2.0,6.0,6.0,0.3975,0.6533,0.5613,1.0754,0.3725,1.0925,0.28937623,0.30023235,0.24783167,0.23601621,0.27835485,0.37838015,0.23963839,0.24373576,0.2529756,0.25170615,0.25735104,0.2547487
1980-02-06,,,,7,0.8562,0.41611704,0.3494727,7.0,3.0,3.0,2.0,7.0,6.0,0.6582,0.5261,0.8126,1.2639,0.1387,1.0085,0.35519984,0.25443858,0.23709564,0.23720151,0.26140702,0.37878427,0.25849244,0.24111636,0.24832216,0.25243783,0.25584745,0.26086918
1980-02-07,,,,7,0.8385,0.36467186,0.33653426,8.0,4.0,3.0,2.0,2.0,6.0,0.7567,0.7312,1.0203,1.1226,0.1655,0.6414,0.30524594,0.25465417,0.22691867,0.2327444,0.24780455,0.34904873,0.2552304,0.24058467,0.24122734,0.25031233,0.25259635,0.25904244
1980-02-08,,,,7,0.9504,0.31890002,0.31815088,8.0,4.0,3.0,2.0,1.0,6.0,0.8586,0.8306,1.1084,0.8344,0.603,0.4999,0.27081698,0.24355406,0.43855622,0.26068136,0.24180323,0.3657474,0.25038671,0.23956034,0.2499794,0.2490136,0.25269634,0.2638983
1980-02-09,,,,7,1.0884,0.2842632,0.30377343,7.0,4.0,3.0,3.0,2.0,6.0,0.8608,0.7665,0.8752,0.5924,0.8311,0.47,0.33850121,0.23497166,0.3584329,0.25786144,0.24015312,0.3107902,0.24626249,0.23895669,0.25171834,0.2546938,0.25415605,0.2580132
1980-02-10,,,,7,1.1464,0.49725133,0.36588302,7.0,6.0,3.0,3.0,2.0,6.0,0.8351,0.3975,0.6533,0.5613,1.0754,0.3725,0.48096198,0.28937623,0.30023235,0.24783167,0.23601621,0.27835485,0.29946023,0.23963839,0.24373576,0.2529756,0.25170615,0.25735104
1980-02-11,,,,7,1.27,0.43190414,0.39456472,7.0,7.0,3.0,3.0,2.0,7.0,0.8562,0.6582,0.5261,0.8126,1.2639,0.1387,0.41611704,0.35519984,0.25443858,0.23709564,0.23720151,0.26140702,0.3494727,0.25849244,0.24111636,0.24832216,0.25243783,0.25584745
1980-02-12,,,,7,1.2737,0.38304254,0.3750497,7.0,8.0,4.0,3.0,2.0,2.0,0.8385,0.7567,0.7312,1.0203,1.1226,0.1655,0.36467186,0.30524594,0.25465417,0.22691867,0.2327444,0.24780455,0.33653426,0.2552304,0.24058467,0.24122734,0.25031233,0.25259635
1980-02-13,,,,7,1.2473,0.3436723,0.3555566,7.0,8.0,4.0,3.0,2.0,1.0,0.9504,0.8586,0.8306,1.1084,0.8344,0.603,0.31890002,0.27081698,0.24355406,0.43855622,0.26068136,0.24180323,0.31815088,0.25038671,0.23956034,0.2499794,0.2490136,0.25269634
1980-02-14,,,,7,1.1311,0.3102492,0.33719766,7.0,7.0,4.0,3.0,3.0,2.0,1.0884,0.8608,0.7665,0.8752,0.5924,0.8311,0.2842632,0.33850121,0.23497166,0.3584329,0.25786144,0.24015312,0.30377343,0.24626249,0.23895669,0.25171834,0.2546938,0.25415605
1980-02-15,,,,7,0.9989,0.28687263,0.32494816,7.0,7.0,6.0,3.0,3.0,2.0,1.1464,0.8351,0.3975,0.6533,0.5613,1.0754,0.49725133,0.48096198,0.28937623,0.30023235,0.24783167,0.23601621,0.36588302,0.29946023,0.23963839,0.24373576,0.2529756,0.25170615
1980-02-16,,,,7,1.0017,0.27653947,0.31641197,7.0,7.0,7.0,3.0,3.0,2.0,1.27,0.8562,0.6582,0.5261,0.8126,1.2639,0.43190414,0.41611704,0.35519984,0.25443858,0.23709564,0.23720151,0.39456472,0.3494727,0.25849244,0.24111636,0.24832216,0.25243783
1980-02-17,,,,8,1.0709,0.4579805,0.4025839,7.0,7.0,8.0,4.0,3.0,2.0,1.2737,0.8385,0.7567,0.7312,1.0203,1.1226,0.38304254,0.36467186,0.30524594,0.25465417,0.22691867,0.2327444,0.3750497,0.33653426,0.2552304,0.24058467,0.24122734,0.25031233
1980-02-18,0.0,27.0,14.0,8,1.0633,0.42535922,0.40088516,7.0,7.0,8.0,4.0,3.0,2.0,1.2473,0.9504,0.8586,0.8306,1.1084,0.8344,0.3436723,0.31890002,0.27081698,0.24355406,0.43855622,0.26068136,0.3555566,0.31815088,0.25038671,0.23956034,0.2499794,0.2490136
1980-02-19,,,,8,1.0207,0.39074308,0.3878455,7.0,7.0,7.0,4.0,3.0,3.0,1.1311,1.0884,0.8608,0.7665,0.8752,0.5924,0.3102492,0.2842632,0.33850121,0.23497166,0.3584329,0.25786144,0.33719766,0.30377343,0.24626249,0.23895669,0.25171834,0.2546938
1980-02-20,,,,8,0.8031,0.36373058,0.37578258,7.0,7.0,7.0,6.0,3.0,3.0,0.9989,1.1464,0.8351,0.3975,0.6533,0.5613,0.28687263,0.49725133,0.48096198,0.28937623,0.30023235,0.24783167,0.32494816,0.36588302,0.29946023,0.23963839,0.24373576,0.2529756
1980-02-21,,,,8,0.6538,0.34084985,0.36543304,7.0,7.0,7.0,7.0,3.0,3.0,1.0017,1.27,0.8562,0.6582,0.5261,0.8126,0.27653947,0.43190414,0.41611704,0.35519984,0.25443858,0.23709564,0.31641197,0.39456472,0.3494727,0.25849244,0.24111636,0.24832216
1980-02-22,,,,7,0.5559,0.32381034,0.355003,8.0,7.0,7.0,8.0,4.0,3.0,1.0709,1.2737,0.8385,0.7567,0.7312,1.0203,0.4579805,0.38304254,0.36467186,0.30524594,0.25465417,0.22691867,0.4025839,0.3750497,0.33653426,0.2552304,0.24058467,0.24122734
1980-02-23,,,,7,0.3335,0.32063794,0.34601435,8.0,7.0,7.0,8.0,4.0,3.0,1.0633,1.2473,0.9504,0.8586,0.8306,1.1084,0.42535922,0.3436723,0.31890002,0.27081698,0.24355406,0.43855622,0.40088516,0.3555566,0.31815088,0.25038671,0.23956034,0.2499794
1980-02-24,,,,8,0.2448,0.35718954,0.34664726,8.0,7.0,7.0,7.0,4.0,3.0,1.0207,1.1311,1.0884,0.8608,0.7665,0.8752,0.39074308,0.3102492,0.2842632,0.33850121,0.23497166,0.3584329,0.3878455,0.33719766,0.30377343,0.24626249,0.23895669,0.25171834
1980-02-25,,,,1,0.4963,0.4428016,0.36860606,8.0,7.0,7.0,7.0,6.0,3.0,0.8031,0.9989,1.1464,0.8351,0.3975,0.6533,0.36373058,0.28687263,0.49725133,0.48096198,0.28937623,0.30023235,0.37578258,0.32494816,0.36588302,0.29946023,0.23963839,0.24373576
1980-02-26,,,,1,0.5119,0.39674568,0.36245024,8.0,7.0,7.0,7.0,7.0,3.0,0.6538,1.0017,1.27,0.8562,0.6582,0.5261,0.34084985,0.27653947,0.43190414,0.41611704,0.35519984,0.25443858,0.36543304,0.31641197,0.39456472,0.3494727,0.25849244,0.24111636
1980-02-27,,,,1,0.3395,0.36492747,0.35209092,7.0,8.0,7.0,7.0,8.0,4.0,0.5559,1.0709,1.2737,0.8385,0.7567,0.7312,0.32381034,0.4579805,0.38304254,0.36467186,0.30524594,0.25465417,0.355003,0.4025839,0.3750497,0.33653426,0.2552304,0.24058467
1980-02-28,,,,2,0.6496,0.33714935,0.34016827,7.0,8.0,7.0,7.0,8.0,4.0,0.3335,1.0633,1.2473,0.9504,0.8586,0.8306,0.32063794,0.42535922,0.3436723,0.31890002,0.27081698,0.24355406,0.34601435,0.40088516,0.3555566,0.31815088,0.25038671,0.23956034
1980-02-29,,,,2,0.6489,0.31204006,0.3303784,8.0,8.0,7.0,7.0,7.0,4.0,0.2448,1.0207,1.1311,1.0884,0.8608,0.7665,0.35718954,0.39074308,0.3102492,0.2842632,0.33850121,0.23497166,0.34664726,0.3878455,0.33719766,0.30377343,0.24626249,0.23895669
1980-03-01,,,,1,0.7674,0.305255,0.32067153,1.0,8.0,7.0,7.0,7.0,6.0,0.4963,0.8031,0.9989,1.1464,0.8351,0.3975,0.4428016,0.36373058,0.28687263,0.49725133,0.48096198,0.28937623,0.36860606,0.37578258,0.32494816,0.36588302,0.29946023,0.23963839
1980-03-02,,,,2,0.9586,0.3347013,0.31608513,1.0,8.0,7.0,7.0,7.0,7.0,0.5119,0.6538,1.0017,1.27,0.8562,0.6582,0.39674568,0.34084985,0.27653947,0.43190414,0.41611704,0.35519984,0.36245024,0.36543304,0.31641197,0.39456472,0.3494727,0.25849244
1980-03-03,,,,2,1.0191,0.3475988,0.31930938,1.0,7.0,8.0,7.0,7.0,8.0,0.3395,0.5559,1.0709,1.2737,0.8385,0.7567,0.36492747,0.32381034,0.4579805,0.38304254,0.36467186,0.30524594,0.35209092,0.355003,0.4025839,0.3750497,0.33653426,0.2552304
1980-03-04,,,,2,0.8723,0.34854388,0.3165217,2.0,7.0,8.0,7.0,7.0,8.0,0.6496,0.3335,1.0633,1.2473,0.9504,0.8586,0.33714935,0.32063794,0.42535922,0.3436723,0.31890002,0.27081698,0.34016827,0.34601435,0.40088516,0.3555566,0.31815088,0.25038671
1980-03-05,,,,2,0.8978,0.33148372,0.30832815,2.0,8.0,8.0,7.0,7.0,7.0,0.6489,0.2448,1.0207,1.1311,1.0884,0.8608,0.31204006,0.35718954,0.39074308,0.3102492,0.2842632,0.33850121,0.3303784,0.34664726,0.3878455,0.33719766,0.30377343,0.24626249
1980-03-06,,,,3,1.0195,0.3192241,0.30406126,1.0,1.0,8.0,7.0,7.0,7.0,0.7674,0.4963,0.8031,0.9989,1.1464,0.8351,0.305255,0.4428016,0.36373058,0.28687263,0.49725133,0.48096198,0.32067153,0.36860606,0.37578258,0.32494816,0.36588302,0.29946023
1980-03-07,,,,3,1.0898,0.4285226,0.3533067,2.0,1.0,8.0,7.0,7.0,7.0,0.9586,0.5119,0.6538,1.0017,1.27,0.8562,0.3347013,0.39674568,0.34084985,0.27653947,0.43190414,0.41611704,0.31608513,0.36245024,0.36543304,0.31641197,0.39456472,0.3494727
1980-03-08,,,,4,1.3538,0.4111964,0.36019176,2.0,1.0,7.0,8.0,7.0,7.0,1.0191,0.3395,0.5559,1.0709,1.2737,0.8385,0.3475988,0.36492747,0.32381034,0.4579805,0.38304254,0.36467186,0.31930938,0.35209092,0.355003,0.4025839,0.3750497,0.33653426
1980-03-09,,,,4,1.5145,0.38324785,0.35297626,2.0,2.0,7.0,8.0,7.0,7.0,0.8723,0.6496,0.3335,1.0633,1.2473,0.9504,0.34854388,0.33714935,0.32063794,0.42535922,0.3436723,0.31890002,0.3165217,0.34016827,0.34601435,0.40088516,0.3555566,0.31815088
1980-03-10,,,,4,1.3194,0.37568033,0.34412175,2.0,2.0,8.0,8.0,7.0,7.0,0.8978,0.6489,0.2448,1.0207,1.1311,1.0884,0.33148372,0.31204006,0.35718954,0.39074308,0.3102492,0.2842632,0.30832815,0.3303784,0.34664726,0.3878455,0.33719766,0.30377343
1980-03-11,,,,4,0.9511,0.4729826,0.358426,3.0,1.0,1.0,8.0,7.0,7.0,1.0195,0.7674,0.4963,0.8031,0.9989,1.1464,0.3192241,0.305255,0.4428016,0.36373058,0.28687263,0.49725133,0.30406126,0.32067153,0.36860606,0.37578258,0.32494816,0.36588302
1980-03-12,,,,5,0.8779,0.48641583,0.49696034,3.0,2.0,1.0,8.0,7.0,7.0,1.0898,0.9586,0.5119,0.6538,1.0017,1.27,0.4285226,0.3347013,0.39674568,0.34084985,0.27653947,0.43190414,0.3533067,0.31608513,0.36245024,0.36543304,0.31641197,0.39456472
1980-03-13,,,,5,0.5501,0.4628637,0.46154356,4.0,2.0,1.0,7.0,8.0,7.0,1.3538,1.0191,0.3395,0.5559,1.0709,1.2737,0.4111964,0.3475988,0.36492747,0.32381034,0.4579805,0.38304254,0.36019176,0.31930938,0.35209092,0.355003,0.4025839,0.3750497
1980-03-14,,,,5,0.5164,0.43207455,0.43950427,4.0,2.0,2.0,7.0,8.0,7.0,1.5145,0.8723,0.6496,0.3335,1.0633,1.2473,0.38324785,0.34854388,0.33714935,0.32063794,0.42535922,0.3436723,0.35297626,0.3165217,0.34016827,0.34601435,0.40088516,0.3555566
1980-03-15,,,,5,0.7482,0.40771544,0.42246595,4.0,2.0,2.0,8.0,8.0,7.0,1.3194,0.8978,0.6489,0.2448,1.0207,1.1311,0.37568033,0.33148372,0.31204006,0.35718954,0.39074308,0.3102492,0.34412175,0.30832815,0.3303784,0.34664726,0.3878455,0.33719766
1980-03-16,,,,5,0.665,0.3863221,0.40674832,4.0,3.0,1.0,1.0,8.0,7.0,0.9511,1.0195,0.7674,0.4963,0.8031,0.9989,0.4729826,0.3192241,0.305255,0.4428016,0.36373058,0.28687263,0.358426,0.30406126,0.32067153,0.36860606,0.37578258,0.32494816
1980-03-17,,,,6,0.7874,0.36488098,0.39230993,5.0,3.0,2.0,1.0,8.0,7.0,0.8779,1.0898,0.9586,0.5119,0.6538,1.0017,0.48641583,0.4285226,0.3347013,0.39674568,0.34084985,0.27653947,0.49696034,0.3533067,0.31608513,0.36245024,0.36543304,0.31641197
1980-03-18,,,,7,1.1585,0.34511068,0.37999701,5.0,4.0,2.0,1.0,7.0,8.0,0.5501,1.3538,1.0191,0.3395,0.5559,1.0709,0.4628637,0.4111964,0.3475988,0.36492747,0.32381034,0.4579805,0.46154356,0.36019176,0.31930938,0.35209092,0.355003,0.4025839
1980-03-19,,,,7,1.4103,0.32583743,0.36584032,5.0,4.0,2.0,2.0,7.0,8.0,0.5164,1.5145,0.8723,0.6496,0.3335,1.0633,0.43207455,0.38324785,0.34854388,0.33714935,0.32063794,0.42535922,0.43950427,0.35297626,0.3165217,0.34016827,0.34601435,0.40088516
1980-03-20,,,,7,1.4962,0.3093273,0.35305184,5.0,4.0,2.0,2.0,8.0,8.0,0.7482,1.3194,0.8978,0.6489,0.2448,1.0207,0.40771544,0.37568033,0.33148372,0.31204006,0.35718954,0.39074308,0.42246595,0.34412175,0.30832815,0.3303784,0.34664726,0.3878455
1980-03-21,,,,7,1.5599,0.297446,0.34298885,5.0,4.0,3.0,1.0,1.0,8.0,0.665,0.9511,1.0195,0.7674,0.4963,0.8031,0.3863221,0.4729826,0.3192241,0.305255,0.4428016,0.36373058,0.40674832,0.358426,0.30406126,0.32067153,0.36860606,0.37578258
1980-03-22,,,,7,1.5586,0.28314376,0.33237344,6.0,5.0,3.0,2.0,1.0,8.0,0.7874,0.8779,1.0898,0.9586,0.5119,0.6538,0.36488098,0.48641583,0.4285226,0.3347013,0.39674568,0.34084985,0.39230993,0.49696034,0.3533067,0.31608513,0.36245024,0.36543304
1980-03-23,,,,6,1.6071,0.26987448,0.32248607,7.0,5.0,4.0,2.0,1.0,7.0,1.1585,0.5501,1.3538,1.0191,0.3395,0.5559,0.34511068,0.4628637,0.4111964,0.3475988,0.36492747,0.32381034,0.37999701,0.46154356,0.36019176,0.31930938,0.35209092,0.355003
1980-03-24,,,,6,1.5997,0.2663754,0.31955814,7.0,5.0,4.0,2.0,2.0,7.0,1.4103,0.5164,1.5145,0.8723,0.6496,0.3335,0.32583743,0.43207455,0.38324785,0.34854388,0.33714935,0.32063794,0.36584032,0.43950427,0.35297626,0.3165217,0.34016827,0.34601435
1980-03-25,,,,7,1.837,0.26782537,0.31650826,7.0,5.0,4.0,2.0,2.0,8.0,1.4962,0.7482,1.3194,0.8978,0.6489,0.2448,0.3093273,0.40771544,0.37568033,0.33148372,0.31204006,0.35718954,0.35305184,0.42246595,0.34412175,0.30832815,0.3303784,0.34664726
1980-03-26,34.0,,20.0,7,2.0404,0.49374065,0.43789703,7.0,5.0,4.0,3.0,1.0,1.0,1.5599,0.665,0.9511,1.0195,0.7674,0.4963,0.297446,0.3863221,0.4729826,0.3192241,0.305255,0.4428016,0.34298885,0.40674832,0.358426,0.30406126,0.32067153,0.36860606
1980-03-27,11.9,25.0,21.0,7,2.1177,0.4922326,0.45797664,7.0,6.0,5.0,3.0,2.0,1.0,1.5586,0.7874,0.8779,1.0898,0.9586,0.5119,0.28314376,0.36488098,0.48641583,0.4285226,0.3347013,0.39674568,0.33237344,0.39230993,0.49696034,0.3533067,0.31608513,0.36245024
1980-03-28,,,,7,2.0411,0.49701118,0.49686646,6.0,7.0,5.0,4.0,2.0,1.0,1.6071,1.1585,0.5501,1.3538,1.0191,0.3395,0.26987448,0.34511068,0.4628637,0.4111964,0.3475988,0.36492747,0.32248607,0.37999701,0.46154356,0.36019176,0.31930938,0.35209092
1980-03-29,0.0,26.0,19.0,7,2.226,0.46632278,0.4709127,6.0,7.0,5.0,4.0,2.0,2.0,1.5997,1.4103,0.5164,1.5145,0.8723,0.6496,0.2663754,0.32583743,0.43207455,0.38324785,0.34854388,0.33714935,0.31955814,0.36584032,0.43950427,0.35297626,0.3165217,0.34016827
1980-03-30,0.0,,12.0,8,2.5651,0.4479017,0.45649865,7.0,7.0,5.0,4.0,2.0,2.0,1.837,1.4962,0.7482,1.3194,0.8978,0.6489,0.26782537,0.3093273,0.40771544,0.37568033,0.33148372,0.31204006,0.31650826,0.35305184,0.42246595,0.34412175,0.30832815,0.3303784
1980-03-31,0.0,,14.0,8,2.9645,0.43048257,0.44418213,7.0,7.0,5.0,4.0,3.0,1.0,2.0404,1.5599,0.665,0.9511,1.0195,0.7674,0.49374065,0.297446,0.3863221,0.4729826,0.3192241,0.305255,0.43789703,0.34298885,0.40674832,0.358426,0.30406126,0.32067153
1980-04-01,0.0,25.0,15.0,8,2.4393,0.4129989,0.4322607,7.0,7.0,6.0,5.0,3.0,2.0,2.1177,1.5586,0.7874,0.8779,1.0898,0.9586,0.4922326,0.28314376,0.36488098,0.48641583,0.4285226,0.3347013,0.45797664,0.33237344,0.39230993,0.49696034,0.3533067,0.31608513
1980-04-02,3.0,25.0,18.0,8,2.2477,0.4451954,0.42566094,7.0,6.0,7.0,5.0,4.0,2.0,2.0411,1.6071,1.1585,0.5501,1.3538,1.0191,0.49701118,0.26987448,0.34511068,0.4628637,0.4111964,0.3475988,0.49686646,0.32248607,0.37999701,0.46154356,0.36019176,0.31930938
1980-04-03,,,,8,2.0332,0.46080816,0.43861896,7.0,6.0,7.0,5.0,4.0,2.0,2.226,1.5997,1.4103,0.5164,1.5145,0.8723,0.46632278,0.2663754,0.32583743,0.43207455,0.38324785,0.34854388,0.4709127,0.31955814,0.36584032,0.43950427,0.35297626,0.3165217
1980-04-04,,,,1,1.7324,0.43264014,0.431601,8.0,7.0,7.0,5.0,4.0,2.0,2.5651,1.837,1.4962,0.7482,1.3194,0.8978,0.4479017,0.26782537,0.3093273,0.40771544,0.37568033,0.33148372,0.45649865,0.31650826,0.35305184,0.42246595,0.34412175,0.30832815
1980-04-05,,,,1,1.6206,0.42027202,0.42406833,8.0,7.0,7.0,5.0,4.0,3.0,2.9645,2.0404,1.5599,0.665,0.9511,1.0195,0.43048257,0.49374065,0.297446,0.3863221,0.4729826,0.3192241,0.44418213,0.43789703,0.34298885,0.40674832,0.358426,0.30406126
1980-04-06,,,,1,1.6266,0.40274832,0.41531748,8.0,7.0,7.0,6.0,5.0,3.0,2.4393,2.1177,1.5586,0.7874,0.8779,1.0898,0.4129989,0.4922326,0.28314376,0.36488098,0.48641583,0.4285226,0.4322607,0.45797664,0.33237344,0.39230993,0.49696034,0.3533067
